"M 31","Andromeda Galaxy",\N,0.7123,41.269,"3.44","190",\N,"/images/m31.jpg","RAW"
"M 110","Andromeda Sat.",\N,0.6733,41.6853,"8.1","21",\N,\N,"Need"
"NGC 6946","Fireworks Galaxy",\N,20.581,60.154,"8.9","11.5",\N,\N,"Need"
"M 1","Crab Nebula",\N,5.5755,22.0145,"8.4","6",\N,\N,"Need"
"M 2","Globular Cluster",\N,21.5583,-0.8239,"6.5","16",\N,\N,"Need"
"M 3","Globular Cluster",\N,13.7033,28.3775,"6.2","18",\N,\N,"Need"
"M 4","Globular Cluster",\N,16.3933,-26.5258,"5.9","36",\N,\N,"Need"
"M 5","Globular Cluster",\N,15.31,2.0811,"5.6","23",\N,\N,"Need"
"M 6","Butterfly Cluster",\N,17.6683,-32.2517,"4.2","25",\N,\N,"Need"
"M 7","Ptolemy Cluster",\N,17.8967,-34.8233,"3.3","80",\N,\N,"Need"
"M 8","Lagoon Nebula",\N,18.0642,-24.3828,"6","90",\N,\N,"Need"
"M 9","Globular Cluster",\N,17.3183,-18.5161,"7.7","12",\N,\N,"Need"
"M 10","Globular Cluster",\N,16.9517,-4.1003,"6.6","20",\N,\N,"Need"
"M 11","Wild Duck Cluster",\N,18.8517,-6.2731,"5.8","14",\N,\N,"Need"
"M 12","Globular Cluster",\N,16.7867,-1.9486,"6.7","16",\N,\N,"Need"
"M 13","Hercules Cluster",\N,16.6947,36.4603,"5.8","20",\N,\N,"Need"
"M 14","Globular Cluster",\N,17.6267,-3.2486,"7.6","11",\N,\N,"Need"
"M 15","Pegasus Cluster",\N,21.5,12.1672,"6.2","18",\N,\N,"Need"
"M 16","Eagle Nebula",\N,18.3144,-13.7983,"6","7",\N,\N,"Need"
"M 17","Omega Nebula",\N,18.3467,-16.1711,"6","11",\N,\N,"Need"
"M 18","Open Cluster",\N,18.3333,-17.1333,"7.5","9",\N,\N,"Need"
"M 19","Globular Cluster",\N,17.0433,-26.2683,"6.8","17",\N,\N,"Need"
"M 20","Trifid Nebula",\N,18.0431,-23.0303,"6.3","28",\N,\N,"Need"
"M 21","Open Cluster",\N,18.0767,-22.5,"6.5","13",\N,\N,"Need"
"M 22","Sagittarius Cluster",\N,18.6067,-23.9042,"5.1","32",\N,\N,"Need"
"M 23","Open Cluster",\N,17.9467,-18.9833,"6.9","27",\N,\N,"Need"
"M 24","Sagittarius Cloud",\N,18.2817,-18.4217,"4.6","90",\N,\N,"Need"
"M 25","Open Cluster",\N,18.5267,-19.1167,"4.6","32",\N,\N,"Need"
"M 26","Open Cluster",\N,18.7533,-9.3833,"8","15",\N,\N,"Need"
"M 27","Dumbbell Nebula",\N,19.9939,22.7211,"7.5","8",\N,\N,"Need"
"M 28","Globular Cluster",\N,18.4083,-24.8711,"6.8","11",\N,\N,"Need"
"M 29","Open Cluster",\N,20.3983,38.5233,"7.1","7",\N,\N,"Need"
"M 30","Globular Cluster",\N,21.6667,-23.1786,"7.2","12",\N,\N,"Need"
"M 32","Andromeda Sat.",\N,0.7139,40.8647,"8.1","8",\N,\N,"Need"
"M 33","Triangulum Galaxy",\N,1.5644,30.6602,"5.7","73",\N,\N,"Need"
"M 34","Open Cluster",\N,2.7017,42.8667,"5.5","35",\N,\N,"Need"
"M 35","Open Cluster",\N,6.1483,24.3333,"5.3","28",\N,\N,"Need"
"M 36","Open Cluster",\N,5.6017,34.1333,"6.3","12",\N,\N,"Need"
"M 37","Open Cluster",\N,5.8733,32.55,"6.2","24",\N,\N,"Need"
"M 38","Star Cluster",\N,5.4783,35.855,"7.4","21",\N,\N,"Need"
"M 39","Open Cluster",\N,21.5367,48.4333,"4.6","32",\N,\N,"Need"
"M 40","Winnecke 4",\N,12.37,58.0833,"8.4","0.8",\N,\N,"Need"
"M 41","Open Cluster",\N,6.7833,-20.7333,"4.5","38",\N,\N,"Need"
"M 42","Orion Nebula",\N,5.5881,-5.3911,"4","65",\N,\N,"Need"
"M 43","De Mairan's Nebula",\N,5.5933,-5.2667,"9","20",\N,\N,"Need"
"M 44","Beehive Cluster",\N,8.6672,19.67,"3.7","95",\N,\N,"Need"
"M 45","Pleiades",\N,3.7836,24.1,"1.6","110",\N,\N,"Need"
"M 46","Open Cluster",\N,7.6967,-14.8167,"6","27",\N,\N,"Need"
"M 47","Open Cluster",\N,7.61,-14.5,"4.4","30",\N,\N,"Need"
"M 48","Open Cluster",\N,8.23,-5.75,"5.5","54",\N,\N,"Need"
"M 49","Elliptical Galaxy",\N,12.4967,8.0017,"8.4","10",\N,\N,"Need"
"M 50","Open Cluster",\N,7.04,-8.3333,"5.9","16",\N,\N,"Need"
"M 51","Whirlpool Galaxy",\N,13.4981,47.1953,"8.4","11",\N,\N,"Need"
"M 52","Open Cluster",\N,23.4033,61.5933,"5","13",\N,\N,"Need"
"M 53","Globular Cluster",\N,13.2133,18.1681,"7.6","13",\N,\N,"Need"
"M 54","Extragalactic Glob",\N,18.9183,-30.4786,"7.6","12",\N,\N,"Need"
"M 55","Globular Cluster",\N,19.6667,-30.9633,"6.3","19",\N,\N,"Need"
"M 56","Globular Cluster",\N,19.2767,30.1847,"8.3","8.8",\N,\N,"Need"
"M 57","Ring Nebula",\N,18.8931,33.0292,"8.8","1.4",\N,\N,"Need"
"M 58","Barred Spiral",\N,12.6283,11.8183,"9.7","6",\N,\N,"Need"
"M 59","Elliptical Galaxy",\N,12.7017,11.6467,"9.6","5",\N,\N,"Need"
"M 60","Elliptical Galaxy",\N,12.7283,11.5517,"8.8","7",\N,\N,"Need"
